0.0000e+00 0.0000e+00 2.0000e-01 4.0000e-01 6.0000e-01 8.0000e-01 1.0000e+00 1.2000e+00 1.4000e+00 1.6000e+00 1.8000e+00 2.0000e+00
1.4622e-03 7.9122e+01 5.9700e+01 5.2407e+01 4.4804e+01 3.8852e+01 3.3472e+01 2.8562e+01 2.3974e+01 1.9530e+01 1.5779e+01 1.2497e+01
2.4889e-03 1.7811e+02 1.0772e+02 7.5768e+01 5.1118e+01 3.8852e+01 3.3472e+01 2.8562e+01 2.3974e+01 1.9530e+01 1.5779e+01 1.2497e+01
3.5481e-03 2.1747e+02 1.4737e+02 1.1728e+02 8.7292e+01 6.4123e+01 4.6743e+01 3.3823e+01 2.4408e+01 1.9530e+01 1.5779e+01 1.2497e+01
4.9774e-03 1.8735e+02 1.5418e+02 1.4104e+02 1.1146e+02 8.7540e+01 6.9976e+01 5.1990e+01 3.7725e+01 2.6941e+01 1.9491e+01 1.4115e+01
7.3114e-03 1.1665e+02 1.1513e+02 1.1659e+02 1.0495e+02 8.8575e+01 7.4523e+01 5.8304e+01 4.3743e+01 3.3016e+01 2.5404e+01 1.9038e+01
8.8716e-03 7.5249e+01 8.7195e+01 9.2300e+01 8.8604e+01 7.7564e+01 6.4088e+01 5.2561e+01 4.1297e+01 3.1205e+01 2.3461e+01 1.7704e+01
1.1298e-02 3.7454e+01 4.9714e+01 5.9891e+01 6.2450e+01 5.6052e+01 4.8560e+01 4.0847e+01 3.2012e+01 2.4635e+01 1.9199e+01 1.4885e+01
1.3804e-02 1.9351e+01 2.6386e+01 3.5281e+01 3.8270e+01 3.7672e+01 3.3820e+01 2.9172e+01 2.3556e+01 1.8456e+01 1.4331e+01 1.1099e+01
1.6596e-02 1.0177e+01 1.3722e+01 1.8783e+01 2.2336e+01 2.1498e+01 2.0562e+01 1.8686e+01 1.5510e+01 1.2683e+01 1.0167e+01 7.9166e+00
1.7742e-02 7.9141e+00 1.1305e+01 1.5121e+01 1.6999e+01 1.7779e+01 1.5806e+01 1.5328e+01 1.2699e+01 1.0591e+01 8.6632e+00 6.8436e+00
2.0701e-02 5.0188e+00 6.1849e+00 8.5138e+00 1.0025e+01 9.7003e+00 9.9322e+00 9.0139e+00 7.4258e+00 6.4632e+00 5.2714e+00 4.3644e+00
3.1046e-02 1.2303e+00 2.0173e+00 2.2423e+00 2.2849e+00 2.1350e+00 2.1563e+00 1.9376e+00 1.7267e+00 1.4243e+00 1.1821e+00 1.0221e+00
4.1400e-02 5.6105e-01 6.7956e-01 8.7459e-01 1.0870e+00 9.7621e-01 7.8885e-01 7.1029e-01 5.8009e-01 5.0636e-01 4.2964e-01 3.3441e-01
4.9774e-02 3.2359e-01 3.9409e-01 4.8642e-01 4.7747e-01 5.8115e-01 5.3485e-01 4.4351e-01 3.3528e-01 2.7831e-01 2.1851e-01 1.7750e-01
6.2230e-02 2.0893e-01 2.2997e-01 2.6524e-01 2.8691e-01 2.6991e-01 2.2919e-01 2.4179e-01 2.0707e-01 1.6675e-01 1.3042e-01 9.7835e-02
8.2794e-02 1.0641e-01 1.2933e-01 1.4151e-01 1.3828e-01 1.3083e-01 1.1561e-01 1.0691e-01 8.5389e-02 6.6551e-02 6.1077e-02 5.2637e-02
1.0361e-01 4.8150e-02 7.1167e-02 8.7608e-02 8.8541e-02 8.1294e-02 6.8122e-02 5.9310e-02 5.0036e-02 3.8910e-02 3.3486e-02 2.7945e-02
1.3810e-01 1.6512e-02 2.8094e-02 3.5906e-02 4.3547e-02 4.1919e-02 3.9306e-02 3.7208e-02 2.9888e-02 2.5526e-02 2.1733e-02 1.5701e-02
1.5542e-01 1.4240e-02 1.7630e-02 2.3623e-02 2.8291e-02 2.8386e-02 2.6383e-02 2.5823e-02 2.2928e-02 1.8393e-02 1.5598e-02 1.2675e-02
1.8561e-01 1.1951e-02 1.0207e-02 1.1373e-02 1.4475e-02 1.1607e-02 1.2670e-02 9.9588e-03 1.0244e-02 9.7596e-03 7.6258e-03 5.5839e-03
2.1439e-01 1.1609e-02 9.2509e-03 7.5413e-03 7.4819e-03 7.8272e-03 5.7660e-03 5.6079e-03 4.3573e-03 3.2472e-03 3.9098e-03 3.3911e-03
2.7631e-01 1.1604e-02 8.9097e-03 6.8266e-03 5.2505e-03 3.9925e-03 3.0521e-03 2.6799e-03 2.0478e-03 1.6903e-03 1.4624e-03 1.1678e-03
3.4530e-01 1.1424e-02 8.8785e-03 6.8018e-03 5.1202e-03 3.8394e-03 2.8396e-03 2.0484e-03 1.4612e-03 1.1429e-03 9.8988e-04 8.4390e-04
4.1438e-01 1.0390e-02 8.5520e-03 6.6908e-03 5.1101e-03 3.8150e-03 2.7994e-03 2.0196e-03 1.4288e-03 1.0190e-03 7.5522e-04 5.4491e-04
7.3131e-01 5.4941e-03 4.9631e-03 4.3522e-03 3.5536e-03 2.7215e-03 2.0862e-03 1.5338e-03 1.1291e-03 8.3992e-04 6.1987e-04 4.5722e-04
9.5640e-01 3.2912e-03 3.1429e-03 2.7873e-03 2.4058e-03 1.9152e-03 1.4247e-03 1.0370e-03 7.6938e-04 5.7779e-04 4.3612e-04 3.2528e-04
1.2430e+00 1.8261e-03 1.8268e-03 1.6394e-03 1.3877e-03 1.1453e-03 9.2068e-04 7.1332e-04 5.4468e-04 4.1082e-04 3.0403e-04 2.1989e-04
1.5542e+00 9.5389e-04 1.0118e-03 9.7915e-04 8.2810e-04 7.0869e-04 5.4736e-04 4.3737e-04 3.6669e-04 2.9321e-04 2.2605e-04 1.6890e-04
2.2600e+00 3.1543e-04 3.6752e-04 3.2146e-04 3.0116e-04 2.5767e-04 2.2207e-04 1.8611e-04 1.5514e-04 1.3020e-04 1.0597e-04 8.4844e-05
3.1081e+00 9.0678e-05 1.1756e-04 1.0247e-04 1.1603e-04 9.2018e-05 6.2170e-05 6.2996e-05 5.1607e-05 4.5788e-05 4.2682e-05 3.4480e-05
6.2158e+00 1.0752e-05 1.9787e-05 2.0382e-05 1.9730e-05 1.8420e-05 1.6537e-05 1.6026e-05 1.5136e-05 1.4031e-05 1.2590e-05 1.0392e-05
