3.0173e-02 1.3624e-02 2.1983e-02 2.9553e-02 3.3448e-02 3.3342e-02 3.1342e-02 2.8501e-02 2.4556e-02 2.2258e-02 1.9894e-02 1.7303e-02 1.4720e-02 1.2126e-02 1.0898e-02 1.0392e-02 9.8811e-03 9.6392e-03 0.0000e+00
3.6405e-02 1.2514e-02 2.0637e-02 2.8460e-02 3.3759e-02 3.4318e-02 3.3169e-02 3.0758e-02 2.6889e-02 2.4589e-02 2.2053e-02 1.9435e-02 1.6773e-02 1.4018e-02 1.2661e-02 1.2129e-02 1.1599e-02 1.1330e-02 0.0000e+00
4.3925e-02 1.5705e-02 2.3968e-02 3.1729e-02 3.7002e-02 3.7552e-02 3.6331e-02 3.4048e-02 3.0057e-02 2.6939e-02 2.4486e-02 2.1873e-02 1.8678e-02 1.5777e-02 1.4377e-02 1.3777e-02 1.3272e-02 1.2942e-02 0.0000e+00
5.2998e-02 1.6668e-02 2.6678e-02 3.5014e-02 4.0014e-02 4.0520e-02 3.9334e-02 3.6636e-02 3.1575e-02 2.9234e-02 2.6498e-02 2.3391e-02 2.0174e-02 1.7077e-02 1.5682e-02 1.5137e-02 1.4471e-02 1.4101e-02 0.0000e+00
6.3944e-02 2.1624e-02 3.2701e-02 4.2667e-02 4.7791e-02 4.7594e-02 4.5530e-02 4.1806e-02 3.5173e-02 3.1742e-02 2.7950e-02 2.4688e-02 2.1396e-02 1.8067e-02 1.6469e-02 1.6185e-02 1.5292e-02 1.4964e-02 0.0000e+00
7.7152e-02 6.4167e-02 8.4332e-02 9.6620e-02 9.8213e-02 9.1878e-02 8.2950e-02 6.8348e-02 5.3592e-02 4.5648e-02 3.8088e-02 3.0999e-02 2.4854e-02 2.0130e-02 1.8672e-02 1.7570e-02 1.7218e-02 1.6543e-02 0.0000e+00
9.3087e-02 1.2396e-01 1.6505e-01 1.9020e-01 1.9053e-01 1.7759e-01 1.5894e-01 1.3024e-01 9.8709e-02 8.1992e-02 6.3053e-02 4.7155e-02 3.6710e-02 2.7981e-02 2.4461e-02 2.3256e-02 2.2168e-02 2.1288e-02 0.0000e+00
1.1231e-01 1.8604e-01 2.6742e-01 3.3612e-01 3.5034e-01 3.3138e-01 2.9761e-01 2.5714e-01 1.9878e-01 1.6692e-01 1.2970e-01 1.0051e-01 6.7663e-02 5.1561e-02 4.1218e-02 3.9409e-02 3.5639e-02 3.4208e-02 0.0000e+00
1.3551e-01 6.6820e-02 1.5700e-01 2.5003e-01 3.0186e-01 3.0654e-01 2.9129e-01 2.6251e-01 2.1844e-01 1.9616e-01 1.6761e-01 1.3949e-01 1.0808e-01 7.3718e-02 6.4575e-02 6.0164e-02 5.3161e-02 5.3053e-02 0.0000e+00
1.6350e-01 2.8467e-01 3.6466e-01 4.3349e-01 4.8723e-01 4.7699e-01 4.3933e-01 3.8720e-01 2.9391e-01 2.5316e-01 2.1346e-01 1.7838e-01 1.4568e-01 1.1512e-01 9.9553e-02 9.3753e-02 8.5994e-02 8.3254e-02 0.0000e+00
1.9727e-01 4.7084e-01 6.8285e-01 7.8888e-01 7.9171e-01 7.6789e-01 6.9124e-01 5.9775e-01 4.3643e-01 3.5843e-01 2.8828e-01 2.3178e-01 1.8053e-01 1.4402e-01 1.2723e-01 1.2106e-01 1.1412e-01 1.1138e-01 0.0000e+00
2.3802e-01 7.3917e-01 1.0703e+00 1.3029e+00 1.3209e+00 1.2373e+00 1.1069e+00 9.4899e-01 6.9229e-01 5.6768e-01 4.5130e-01 3.4513e-01 2.5977e-01 1.9344e-01 1.6490e-01 1.5508e-01 1.4887e-01 1.4147e-01 0.0000e+00
2.8718e-01 2.0653e+00 2.7372e+00 3.1427e+00 3.0957e+00 2.8527e+00 2.4722e+00 2.0227e+00 1.3165e+00 1.0380e+00 7.9642e-01 5.9642e-01 4.3230e-01 3.0847e-01 2.5870e-01 2.4041e-01 2.2370e-01 2.1419e-01 0.0000e+00
3.4650e-01 5.5990e+00 7.3963e+00 8.2309e+00 7.8379e+00 7.1139e+00 6.0683e+00 4.8111e+00 2.7546e+00 2.0090e+00 1.4576e+00 1.0499e+00 7.3929e-01 5.1206e-01 4.2425e-01 3.9319e-01 3.6106e-01 3.4551e-01 0.0000e+00
4.1807e-01 1.3080e+01 1.7591e+01 1.9835e+01 1.8899e+01 1.7117e+01 1.4538e+01 1.1559e+01 6.5943e+00 4.6377e+00 3.1666e+00 2.0996e+00 1.3840e+00 9.1319e-01 7.4026e-01 6.7996e-01 6.2302e-01 5.9612e-01 0.0000e+00
5.0442e-01 2.4568e+01 3.4190e+01 3.9528e+01 3.8442e+01 3.5121e+01 3.0084e+01 2.4205e+01 1.4554e+01 1.0531e+01 7.3050e+00 4.8040e+00 3.0244e+00 1.8502e+00 1.4387e+00 1.3049e+00 1.1789e+00 1.1234e+00 0.0000e+00
6.0860e-01 4.2338e+01 5.9767e+01 7.0491e+01 7.0060e+01 6.4707e+01 5.6087e+01 4.5757e+01 2.8810e+01 2.1481e+01 1.5391e+01 1.0491e+01 6.8102e+00 4.1938e+00 3.2233e+00 2.8860e+00 2.5848e+00 2.4428e+00 0.0000e+00
7.3431e-01 7.0222e+01 9.9950e+01 1.1917e+02 1.2021e+02 1.1210e+02 9.8163e+01 8.1153e+01 5.3147e+01 4.0593e+01 2.9883e+01 2.1037e+01 1.4135e+01 9.0604e+00 7.1027e+00 6.4145e+00 5.7811e+00 5.4752e+00 0.0000e+00
8.8597e-01 1.0920e+02 1.5776e+02 1.9044e+02 1.9483e+02 1.8322e+02 1.6210e+02 1.3589e+02 9.2760e+01 7.2546e+01 5.4711e+01 3.9497e+01 2.7321e+01 1.8119e+01 1.4473e+01 1.3166e+01 1.1955e+01 1.1371e+01 0.0000e+00
1.0690e+00 1.5991e+02 2.3438e+02 2.8736e+02 2.9864e+02 2.8336e+02 2.5323e+02 2.1514e+02 1.5280e+02 1.2232e+02 9.4523e+01 7.0014e+01 4.9739e+01 3.3899e+01 2.7483e+01 2.5171e+01 2.2997e+01 2.1954e+01 0.0000e+00
1.2898e+00 2.1812e+02 3.2539e+02 4.0567e+02 4.2959e+02 4.1182e+02 3.7223e+02 3.2081e+02 2.3647e+02 1.9339e+02 1.5295e+02 1.1617e+02 8.4758e+01 5.9400e+01 4.8851e+01 4.5004e+01 4.1352e+01 3.9589e+01 0.0000e+00
1.5562e+00 2.6212e+02 4.0346e+02 5.1645e+02 5.6144e+02 5.4604e+02 5.0138e+02 4.3991e+02 3.3897e+02 2.8427e+02 2.3035e+02 1.7928e+02 1.3426e+02 9.6723e+01 8.0694e+01 7.4772e+01 6.9114e+01 6.6366e+01 0.0000e+00
1.8776e+00 2.8832e+02 4.5359e+02 5.9714e+02 6.6898e+02 6.6139e+02 6.1841e+02 5.5296e+02 4.4254e+02 3.8016e+02 3.1667e+02 2.5418e+02 1.9633e+02 1.4553e+02 1.2316e+02 1.1480e+02 1.0675e+02 1.0283e+02 0.0000e+00
2.2654e+00 2.6689e+02 4.3990e+02 6.0172e+02 7.0264e+02 7.1067e+02 6.8095e+02 6.2395e+02 5.2113e+02 4.5864e+02 3.9233e+02 3.2465e+02 2.5947e+02 1.9945e+02 1.7197e+02 1.6149e+02 1.5126e+02 1.4625e+02 0.0000e+00
2.7333e+00 2.0010e+02 3.5016e+02 5.0968e+02 6.3050e+02 6.5785e+02 6.5240e+02 6.1685e+02 5.3973e+02 4.8919e+02 4.3244e+02 3.7092e+02 3.0760e+02 2.4582e+02 2.1626e+02 2.0477e+02 1.9346e+02 1.8787e+02 0.0000e+00
3.2979e+00 1.4810e+02 2.5936e+02 3.8924e+02 5.1045e+02 5.4976e+02 5.6470e+02 5.5187e+02 5.0445e+02 4.6933e+02 4.2762e+02 3.8004e+02 3.2830e+02 2.7419e+02 2.4671e+02 2.3573e+02 2.2473e+02 2.1927e+02 0.0000e+00
3.9791e+00 1.0979e+02 1.9228e+02 2.8861e+02 3.8614e+02 4.2731e+02 4.5312e+02 4.5641e+02 4.3370e+02 4.1315e+02 3.8667e+02 3.5433e+02 3.1716e+02 2.7608e+02 2.5427e+02 2.4538e+02 2.3635e+02 2.3178e+02 0.0000e+00
4.8009e+00 8.1506e+01 1.4277e+02 2.1431e+02 2.8674e+02 3.1857e+02 3.4425e+02 3.5536e+02 3.4874e+02 3.3883e+02 3.2435e+02 3.0520e+02 2.8175e+02 2.5419e+02 2.3886e+02 2.3247e+02 2.2589e+02 2.2254e+02 0.0000e+00
5.7926e+00 6.0601e+01 1.0616e+02 1.5938e+02 2.1324e+02 2.3689e+02 2.5598e+02 2.6597e+02 2.6662e+02 2.6294e+02 2.5624e+02 2.4628e+02 2.3320e+02 2.1683e+02 2.0733e+02 2.0328e+02 1.9905e+02 1.9688e+02 0.0000e+00
6.9890e+00 4.5125e+01 7.9060e+01 1.1870e+02 1.5882e+02 1.7641e+02 1.9060e+02 1.9800e+02 1.9871e+02 1.9686e+02 1.9373e+02 1.8903e+02 1.8245e+02 1.7374e+02 1.6848e+02 1.6619e+02 1.6377e+02 1.6251e+02 0.0000e+00
8.4326e+00 3.3650e+01 5.8961e+01 8.8532e+01 1.1845e+02 1.3156e+02 1.4212e+02 1.4761e+02 1.4815e+02 1.4675e+02 1.4438e+02 1.4110e+02 1.3721e+02 1.3274e+02 1.3004e+02 1.2886e+02 1.2759e+02 1.2692e+02 0.0000e+00
1.0174e+01 2.5129e+01 4.4035e+01 6.6125e+01 8.8469e+01 9.8255e+01 1.0612e+02 1.1020e+02 1.1060e+02 1.0954e+02 1.0774e+02 1.0526e+02 1.0230e+02 9.9010e+01 9.7242e+01 9.6515e+01 9.5765e+01 9.5383e+01 0.0000e+00
1.2276e+01 1.8793e+01 3.2933e+01 4.9457e+01 6.6168e+01 7.3480e+01 7.9345e+01 8.2386e+01 8.2687e+01 8.1884e+01 8.0515e+01 7.8624e+01 7.6379e+01 7.3881e+01 7.2540e+01 7.1988e+01 7.1419e+01 7.1129e+01 0.0000e+00
